year,miles,price,brand,color_exterior,color_interior,accidents,number_of_owners
2020,25927.0,24998.0,Honda,Black,Black,0.0,1.0
2020,15118.0,26949.0,Subaru,Silver,Gray,0.0,1.0
2021,69341.0,27000.0,Jeep,White,Black,0.0,1.0
2024,2455.0,31999.0,Subaru,Gray,Gray,0.0,1.0
2018,86034.0,21998.0,Cadillac,Black,Black,0.0,1.0
2021,52381.0,22399.0,Audi,White,Black,0.0,1.0
2016,74595.0,23888.0,Lexus,Silver,Black,1.0,2.0
2021,21756.0,62495.0,Chevrolet,Black,Black,0.0,2.0
2020,46357.0,16999.0,Toyota,Black,Black,1.0,2.0
2020,28711.0,19998.0,Nissan,Silver,Black,1.0,1.0
2016,104788.0,7499.0,Ford,Silver,Black,0.0,3.0
2022,12483.0,35136.0,Mercedes-Benz,White,Black,0.0,1.0
2021,10350.0,24222.0,Jeep,Gray,Black,0.0,1.0
2013,74780.0,20998.0,Toyota,Gray,Gray,0.0,2.0
2021,24526.0,36794.0,Lexus,Black,Black,0.0,1.0
2021,20653.0,25299.0,Subaru,Red,Black,3.0,1.0
2020,38374.0,26998.0,Ram,Blue,Black,0.0,1.0
2020,28693.0,23889.0,Subaru,Black,Gray,0.0,1.0
2017,138015.0,13999.0,Lexus,Unknown,Unknown,1.0,2.0
2017,38477.0,28998.0,BMW,Gray,Black,1.0,2.0
2020,40839.0,16819.0,Jeep,White,Black,1.0,2.0
2022,10225.0,29998.0,Mazda,Gray,Black,0.0,2.0
2021,25387.0,19649.0,Honda,Silver,Gray,0.0,1.0
2022,22045.0,17799.0,Nissan,Black,Black,0.0,1.0
2020,45891.0,17998.0,Nissan,Gray,Black,0.0,2.0
2020,18629.0,39998.0,Porsche,White,Black,0.0,1.0
2022,33778.0,20200.0,Honda,Black,Black,0.0,1.0
2019,18131.0,30369.0,Lexus,Black,Black,2.0,1.0
2022,33204.0,23900.0,Chevrolet,Black,Gray,0.0,1.0
2021,26118.0,24991.0,Mercedes-Benz,White,Black,0.0,1.0
2023,14651.0,44998.0,BMW,White,Black,0.0,1.0
2021,26514.0,28994.0,Honda,Gray,Black,1.0,1.0
2014,90710.0,11295.0,Ford,Red,Unknown,0.0,2.0
2020,25286.0,26991.0,Mercedes-Benz,Blue,Beige,0.0,1.0
2021,37490.0,28757.0,Mercedes-Benz,Black,Black,0.0,1.0
2019,51091.0,21333.0,INFINITI,White,Gray,0.0,1.0
2018,50012.0,23222.0,Audi,Black,Black,1.0,2.0
2021,56206.0,16199.0,Nissan,Gray,Black,0.0,1.0
2022,47.0,28670.0,Alfa Romeo,White,Black,0.0,1.0
2022,22376.0,28067.0,Honda,Black,Black,0.0,1.0
2021,27730.0,20194.0,Toyota,White,Black,0.0,1.0
2021,24585.0,28998.0,Subaru,Black,Beige,0.0,1.0
2021,26270.0,23333.0,Toyota,Gray,Black,0.0,1.0
2015,48155.0,19998.0,BMW,White,Unknown,0.0,5.0
2018,29848.0,24998.0,Acura,Black,Black,1.0,3.0
2020,23906.0,16998.0,Nissan,Gray,Black,0.0,1.0
2021,35679.0,22007.0,Toyota,Gray,Black,0.0,1.0
2020,29921.0,30989.0,Land Rover,Black,Black,0.0,2.0
2020,25894.0,22598.0,Honda,White,Beige,1.0,1.0
2022,214.0,39333.0,Toyota,Blue,Black,0.0,1.0
2018,93594.0,16998.0,Hyundai,Gray,Black,0.0,1.0
2017,84165.0,16500.0,Subaru,Red,Gray,0.0,1.0
2019,16529.0,28998.0,Mercedes-Benz,Black,Black,1.0,1.0
2021,52224.0,24099.0,Subaru,Black,Black,0.0,1.0
2018,49734.0,22998.0,Dodge,White,Black,0.0,2.0
2021,13384.0,40745.0,Mercedes-Benz,White,White,0.0,1.0
2017,55590.0,21995.0,Land Rover,Gray,Black,1.0,2.0
2013,98885.0,9500.0,Ford,White,Gray,0.0,1.0
2022,21808.0,46998.0,BMW,Gray,Black,0.0,1.0
2019,34972.0,22142.0,Mercedes-Benz,Black,Black,0.0,2.0
2019,67771.0,25988.0,Jeep,White,Black,0.0,2.0
2022,44258.0,24788.0,Toyota,Silver,Unknown,0.0,1.0
2020,42668.0,26700.0,Jaguar,Black,Black,0.0,1.0
2012,96502.0,14998.0,Toyota,Red,Gray,2.0,4.0
2013,87335.0,9990.0,Volkswagen,White,Black,0.0,1.0
2017,42051.0,29998.0,Honda,Silver,Black,0.0,1.0
2020,64659.0,25998.0,Chrysler,White,Black,0.0,1.0
2022,77425.0,24898.0,Toyota,White,Black,0.0,1.0
2017,72367.0,10850.0,Toyota,Blue,Black,0.0,3.0
2018,33452.0,35998.0,Land Rover,White,Black,1.0,2.0
2022,9629.0,27998.0,Mazda,Gray,Black,0.0,2.0
2016,95261.0,17998.0,Honda,Black,Black,2.0,2.0
2021,30045.0,29888.0,Mercedes-Benz,Silver,Black,0.0,1.0
2019,47789.0,49995.0,Ford,White,Gray,0.0,1.0
2018,47760.0,22333.0,Ford,White,Black,0.0,2.0
